symbol,name,reportDate,fiscalDateEnding,estimate,currency
AUMN,Golden Minerals Company,2022-02-16,2021-12-31,0.01,USD
AUPH,Aurinia Pharmaceuticals Inc,2022-02-22,2021-12-31,,USD
AUSAF,AUSAF,2022-02-24,2021-12-31,,CAD
AUY,Yamana Gold Inc,2022-02-10,2021-12-31,0.08,USD
AVA,Avista Corp,2022-02-22,2021-12-31,0.68,USD
AVAV,AeroVironment Inc,2021-12-06,2021-10-31,0.62,USD
AVB,Avalonbay Communities Inc,2022-02-01,2021-12-31,0.97,USD
AVGO,Broadcom Inc,2021-12-09,2021-10-31,7.74,USD
AVLR,Avalara Inc,2022-02-08,2021-12-31,-0.08,USD
AVNS,Avanos Medical Inc,2022-02-16,2021-12-31,0.41,USD
AVNT,Avient Corp,2022-02-07,2021-12-31,0.57,USD
AVNW,Aviat Networks Inc,2022-02-01,2021-12-31,0.61,USD
AVO,Mission Produce Inc,2022-01-17,2021-10-31,0.3,USD
AVT,Avnet Inc,2022-01-25,2021-12-31,1.27,USD
AVTR,Avantor Inc,2022-02-01,2021-12-31,0.33,USD
AVXL,Anavex Life Sciences Corporation,2022-02-09,2021-12-31,,USD
AVY,Avery Dennison Corp,2022-02-01,2021-12-31,2.13,USD
AVYA,Avaya Holdings Corp,2022-02-08,2021-12-31,0.7,USD
AWI,Armstrong World Industries Inc,2022-02-21,2021-12-31,1.04,USD
AWK,American Water Works Co. Inc,2022-02-22,2021-12-31,0.85,USD
AWR,American States Water Company,2022-02-21,2021-12-31,0.43,USD
AWRE,Aware Inc,2022-02-07,2021-12-31,-0.1,USD
AX,Axos Financial Inc,2022-01-26,2021-12-31,0.98,USD
AXDX,Accelerate Diagnostics Inc,2022-02-21,2021-12-31,-0.23,USD
AXGN,Axogen Inc,2022-02-21,2021-12-31,-0.13,USD
AXL,American Axle & Manufacturing Holdings Inc,2022-02-10,2021-12-31,0.02,USD
AXNX,Axonics Inc,2022-02-23,2021-12-31,-0.37,USD
AXON,Axon Enterprise Inc,2022-02-23,2021-12-31,0.19,USD
AXP,American Express Company,2022-01-24,2021-12-31,1.76,USD
AXS,Axis Capital Holdings Ltd,2022-01-25,2021-12-31,1.36,USD
AXTA,Axalta Coating Systems Ltd,2022-02-15,2021-12-31,0.41,USD
AXTI,AXT Inc,2022-02-16,2021-12-31,0.06,USD
AYI,Acuity Brands Inc,2022-01-05,2021-11-30,2.41,USD
AYTU,Aytu BioPharma Inc,2022-02-09,2021-12-31,-0.58,USD
AYX,Alteryx Inc - Class A,2022-02-07,2021-12-31,0.06,USD
AZEK,AZEK Company Inc - Class A,2022-02-09,2021-12-31,0.17,USD
AZMCF,AZMCF,2021-11-30,2021-09-30,,USD
AZO,Autozone Inc,2021-12-07,2021-11-30,20.65,USD
AZPN,Aspen Technology Inc,2022-01-25,2021-12-31,1.29,USD
AZRE,Azure Power Global Ltd,2021-11-29,2021-09-30,-0.12,USD
AZRE,Azure Power Global Ltd,2022-02-08,2021-12-31,,USD
AZZ,AZZ Inc,2022-01-10,2021-11-30,0.82,USD
B,Barnes Group Inc,2022-02-17,2021-12-31,0.5,USD
BA,Boeing Company,2022-01-25,2021-12-31,-0.24,USD
BABA,Alibaba Group Holding Ltd,2022-01-31,2021-12-31,2.67,CNY
BABB,BABB,2022-02-10,2021-11-30,,USD
BAC,Bank Of America Corp,2022-01-19,2021-12-31,0.78,USD
BAH,Booz Allen Hamilton Holding Corp - Class A,2022-01-27,2021-12-31,0.98,USD
BAM,Brookfield Asset Management Inc - Class A,2022-02-10,2021-12-31,,USD
BANC,Banc of California Inc,2022-01-19,2021-12-31,0.2,USD
BAND,Bandwidth Inc - Class A,2022-02-23,2021-12-31,-0.12,USD
BANF,Bancfirst Corp,2022-01-19,2021-12-31,1.08,USD
BANR,Banner Corp,2022-01-19,2021-12-31,1.18,USD
BAP,Credicorp Ltd,2022-02-07,2021-12-31,2.99,USD
BARK,BARK Inc - Class A,2022-02-14,2021-12-31,-0.14,USD
BASI,BASI,2021-12-20,2021-09-30,,USD
BAX,Baxter International Inc,2022-02-02,2021-12-31,1.02,USD
BB,BlackBerry Ltd,2021-12-21,2021-11-30,,USD
BBBY,Bed Bath & Beyond Inc,2022-01-05,2021-11-30,0.01,USD
BBCP,Concrete Pumping Holdings Inc - Class A,2022-01-10,2021-12-31,0.1,USD
BBGI,Beasley Broadcast Group Inc - Class A,2022-02-08,2021-12-31,0.09,USD
BBIO,BridgeBio Pharma Inc,2022-02-23,2021-12-31,-0.87,USD
BBW,Build A Bear Workshop Inc,2021-12-01,2021-11-30,-0.17,USD
BBWI,Bath & Body Works Inc,2022-02-23,2021-12-31,,USD
BBWI,Bath & Body Works Inc,2022-02-23,2022-01-31,2.29,USD
BBY,Best Buy Co. Inc,2022-02-23,2021-11-30,2.87,USD
BC,Brunswick Corp,2022-01-26,2021-12-31,1.35,USD
BCBP,BCB Bancorp Inc (NJ),2022-01-26,2021-12-31,0.49,USD
BCC,Boise Cascade Company,2022-02-21,2021-12-31,1.8,USD
BCE,BCE Inc,2022-02-02,2021-12-31,0.58,USD
BCEI,BCEI,2022-02-15,2021-12-31,,USD
BCEL,Atreca Inc - Class A,2022-02-23,2021-12-31,-0.76,USD
BCLI,Brainstorm Cell Therapeutics Inc,2022-02-02,2021-12-31,-0.2,USD
BCML,BayCom Corp,2022-01-26,2021-12-31,0.5,USD
BCO,Brink`s Company,2022-02-21,2021-12-31,1.45,USD
BCOR,Blucora Inc,2022-02-15,2021-12-31,-0.45,USD
BCOV,Brightcove Inc,2022-02-15,2021-12-31,0.03,USD
BCPC,Balchem Corp,2022-02-17,2021-12-31,0.85,USD
BCRHF,BCRHF,2022-01-27,2021-12-31,,USD
BCRX,Biocryst Pharmaceuticals Inc,2022-02-23,2021-12-31,-0.31,USD
BCSF,Bain Capital Specialty Finance Inc,2022-02-22,2021-12-31,0.34,USD
BDC,Belden Inc,2022-02-08,2021-12-31,1.27,USD
BDN,Brandywine Realty Trust,2022-02-02,2021-12-31,0.02,USD
BDRBF,BDRBF,2022-02-10,2021-12-31,-0.02,USD
BDX,Becton Dickinson And Company,2022-02-02,2021-12-31,2.83,USD
BE,Bloom Energy Corp - Class A,2022-02-08,2021-12-31,-0.04,USD
BECN,Beacon Roofing Supply Inc - Class A,2022-01-31,2021-12-31,0.86,USD
BEDU,Bright Scholar Education Holdings Ltd,2022-01-18,2021-11-30,,USD
